"Study","SampleSize","Scenario","Replication","Effect","Estimate","StdError","Lower","Upper","Method"
"Main",200,"Skew-normal",176,"PNIE",-0.624462571191827,0.145453009310814,-0.909545230883992,-0.339379911499662,"OLS"
"Main",200,"Skew-normal",176,"TNIE",-0.00410692913603728,0.0565489019790849,-0.11494074038033,0.106726882108255,"OLS"
"Main",200,"Skew-normal",176,"PNDE",0.77243210835246,0.176987113044827,0.42554374105688,1.11932047564804,"OLS"
"Main",200,"Skew-normal",176,"TNDE",1.39278775040825,0.173499072793653,1.0527358163816,1.7328396844349,"OLS"
"Main",200,"Skew-normal",176,"TE",0.768325179216423,0.157863447412038,0.458918507813495,1.07773185061935,"OLS"
"Main",200,"Skew-normal",176,"PNIE",-0.545007263644694,0.111342543508498,-0.763234638868435,-0.326779888420954,"Semiparametric"
"Main",200,"Skew-normal",176,"TNIE",0.00672490338581845,0.0480483891701804,-0.0874482089028994,0.100898015674536,"Semiparametric"
"Main",200,"Skew-normal",176,"PNDE",0.859151842952092,0.159696347473485,0.546152753441467,1.17215093246272,"Semiparametric"
"Main",200,"Skew-normal",176,"TNDE",1.4108840099826,0.148332550107655,1.12015755403662,1.70161046592859,"Semiparametric"
"Main",200,"Skew-normal",176,"TE",0.86587674633791,0.142080316023714,0.587404444019362,1.14434904865646,"Semiparametric"
"Main",500,"Skew-normal",334,"PNIE",-0.319046015727351,0.0797638004144683,-0.47538019180975,-0.162711839644952,"OLS"
"Main",500,"Skew-normal",334,"TNIE",0.121316230830332,0.0405028311740209,0.041932140457345,0.200700321203319,"OLS"
"Main",500,"Skew-normal",334,"PNDE",0.636285049958794,0.114014352816907,0.412821024717014,0.859749075200575,"OLS"
"Main",500,"Skew-normal",334,"TNDE",1.07664729651648,0.115927785519122,0.849433012091514,1.30386158094144,"OLS"
"Main",500,"Skew-normal",334,"TE",0.757601280789127,0.104044272230582,0.553678254419504,0.961524307158749,"OLS"
"Main",500,"Skew-normal",334,"PNIE",-0.339606081000918,0.060713156377295,-0.458601680888164,-0.220610481113671,"Semiparametric"
"Main",500,"Skew-normal",334,"TNIE",0.101448493027056,0.027946234437473,0.0466748800260962,0.156222106028016,"Semiparametric"
"Main",500,"Skew-normal",334,"PNDE",0.65441525424692,0.0874252385740547,0.483064935301951,0.825765573191889,"Semiparametric"
"Main",500,"Skew-normal",334,"TNDE",1.09546982827489,0.0882775911612898,0.922448928956814,1.26849072759297,"Semiparametric"
"Main",500,"Skew-normal",334,"TE",0.755863747273976,0.0804435950780542,0.598197198134066,0.913530296413886,"Semiparametric"
"Main",200,"Gaussian",352,"PNIE",-0.473288199537824,0.121112341764582,-0.710664027479711,-0.235912371595936,"OLS"
"Main",200,"Gaussian",352,"TNIE",0.151977179706509,0.0565137207125928,0.041212322477472,0.262742036935546,"OLS"
"Main",200,"Gaussian",352,"PNDE",0.588360602721686,0.187524247373734,0.220819831641187,0.955901373802185,"OLS"
"Main",200,"Gaussian",352,"TNDE",1.21362598196602,0.184634420992807,0.851749166513711,1.57550279741833,"OLS"
"Main",200,"Gaussian",352,"TE",0.740337782428195,0.172461819185206,0.402318828116933,1.07835673673946,"OLS"
"Main",200,"Gaussian",352,"PNIE",-0.398934272781671,0.121350566017412,-0.636777011679349,-0.161091533883993,"Semiparametric"
"Main",200,"Gaussian",352,"TNIE",0.169537587679871,0.0646239277065594,0.0428770168354949,0.296198158524248,"Semiparametric"
"Main",200,"Gaussian",352,"PNDE",0.504792129330307,0.216603823343854,0.0802564366626773,0.929327821997937,"Semiparametric"
"Main",200,"Gaussian",352,"TNDE",1.07326398979185,0.216453654271906,0.64902262309683,1.49750535648687,"Semiparametric"
"Main",200,"Gaussian",352,"TE",0.674329717010179,0.185756805865729,0.310253067630151,1.03840636639021,"Semiparametric"
"Main",200,"Skew-normal",916,"PNIE",-0.26437613875059,0.111207057398528,-0.482337966078384,-0.046414311422796,"OLS"
"Main",200,"Skew-normal",916,"TNIE",0.00930371172711133,0.0356033459075459,-0.0604775639808001,0.0790849874350228,"OLS"
"Main",200,"Skew-normal",916,"PNDE",0.970637945377355,0.161304175901802,0.654487570053909,1.2867883207008,"OLS"
"Main",200,"Skew-normal",916,"TNDE",1.24431779585506,0.157771309413768,0.935091711610347,1.55354388009977,"OLS"
"Main",200,"Skew-normal",916,"TE",0.979941657104466,0.154009632631334,0.678088323874808,1.28179499033412,"OLS"
"Main",200,"Skew-normal",916,"PNIE",-0.228369526571026,0.118185947777686,-0.460009727694022,0.00327067455196947,"Semiparametric"
"Main",200,"Skew-normal",916,"TNIE",0.0125798008046366,0.0280751582576367,-0.0424464982405937,0.0676060998498668,"Semiparametric"
"Main",200,"Skew-normal",916,"PNDE",0.967405729675717,0.145051247915425,0.683110507848894,1.25170095150254,"Semiparametric"
"Main",200,"Skew-normal",916,"TNDE",1.20835505705138,0.14425561178462,0.925619253385733,1.49109086071703,"Semiparametric"
"Main",200,"Skew-normal",916,"TE",0.979985530480353,0.139562382583318,0.70644828702045,1.25352277394026,"Semiparametric"
"Main",500,"Asymmetric mixture",34,"PNIE",-0.394937037999843,0.080991970011092,-0.553678382258531,-0.236195693741154,"OLS"
"Main",500,"Asymmetric mixture",34,"TNIE",0.0369702222695735,0.024154351242014,-0.0103714362347043,0.0843118807738512,"OLS"
"Main",500,"Asymmetric mixture",34,"PNDE",0.719659641919711,0.115683986103623,0.492923195568578,0.946396088270845,"OLS"
"Main",500,"Asymmetric mixture",34,"TNDE",1.15156690218913,0.116026225888998,0.924159678184582,1.37897412619367,"OLS"
"Main",500,"Asymmetric mixture",34,"TE",0.756629864189285,0.106210876824234,0.548460370847366,0.964799357531203,"OLS"
"Main",500,"Asymmetric mixture",34,"PNIE",-0.312639908617071,0.0181877915042194,-0.348287324923664,-0.276992492310477,"Semiparametric"
"Main",500,"Asymmetric mixture",34,"TNIE",0.0793696622855097,0.00719630878059218,0.0652651562539197,0.0934741683170998,"Semiparametric"
"Main",500,"Asymmetric mixture",34,"PNDE",0.750054316052798,0.0544567749021766,0.643320998530327,0.856787633575269,"Semiparametric"
